timestamp;;price
16.10.2022;23:59:59.999;19262.98000000
17.10.2022;23:59:59.999;19549.86000000
18.10.2022;23:59:59.999;19327.44000000
19.10.2022;23:59:59.999;19123.97000000
20.10.2022;23:59:59.999;19041.92000000
21.10.2022;23:59:59.999;19164.37000000
22.10.2022;23:59:59.999;19204.35000000
23.10.2022;23:59:59.999;19570.40000000
24.10.2022;23:59:59.999;19329.72000000
25.10.2022;23:59:59.999;20080.07000000
26.10.2022;23:59:59.999;20771.59000000
27.10.2022;23:59:59.999;20295.11000000
28.10.2022;23:59:59.999;20591.84000000
29.10.2022;23:59:59.999;20809.67000000
30.10.2022;23:59:59.999;20627.48000000
31.10.2022;23:59:59.999;20490.74000000
01.11.2022;23:59:59.999;20483.62000000
02.11.2022;23:59:59.999;20151.84000000
03.11.2022;23:59:59.999;20207.82000000
04.11.2022;23:59:59.999;21148.52000000
05.11.2022;23:59:59.999;21299.37000000
06.11.2022;23:59:59.999;20905.58000000
07.11.2022;23:59:59.999;20591.13000000
08.11.2022;23:59:59.999;18547.23000000
09.11.2022;23:59:59.999;15922.81000000
10.11.2022;23:59:59.999;17601.15000000
11.11.2022;23:59:59.999;17070.31000000
12.11.2022;23:59:59.999;16812.08000000
13.11.2022;23:59:59.999;16329.85000000
14.11.2022;23:59:59.999;16619.46000000
15.11.2022;23:59:59.999;16900.57000000
16.11.2022;23:59:59.999;16662.76000000
17.11.2022;23:59:59.999;16692.56000000
18.11.2022;23:59:59.999;16700.45000000
19.11.2022;23:59:59.999;16700.68000000
20.11.2022;23:59:59.999;16280.23000000
21.11.2022;23:59:59.999;15781.29000000
22.11.2022;23:59:59.999;16226.94000000
23.11.2022;23:59:59.999;16603.11000000
24.11.2022;23:59:59.999;16598.95000000
25.11.2022;23:59:59.999;16522.14000000
26.11.2022;23:59:59.999;16458.57000000
27.11.2022;23:59:59.999;16428.78000000
28.11.2022;23:59:59.999;16212.91000000
29.11.2022;23:59:59.999;16442.53000000
30.11.2022;23:59:59.999;17163.64000000
01.12.2022;23:59:59.999;16977.37000000
02.12.2022;23:59:59.999;17092.74000000
03.12.2022;23:59:59.999;16885.20000000
04.12.2022;23:59:59.999;17105.70000000
05.12.2022;23:59:59.999;16966.35000000
06.12.2022;23:59:59.999;17088.96000000
07.12.2022;23:59:59.999;16836.64000000
08.12.2022;23:59:59.999;17224.10000000
09.12.2022;23:59:59.999;17128.56000000
